index,tweet,humor,prejudice_woman,prejudice_lgbtiq,prejudice_inmigrant_race,gordofobia,mean_prejudice,backtranslated
72157,Mi celular tiene una aplicación que te hace ver todo gordo y feo. —¿En serio? ¿Cómo se llama? —Cámara.,1,0,0,0,1,3.0,"Mi teléfono celular tiene una aplicación que te hace ver todo graso y feo. -¿Ah, de verdad? ¿Cómo se llama? -Cámara."
68084,"En esta vida me tocó tener mala suerte, espero que en la proxima toque ser flaco.",1,0,0,0,1,2.8,"En esta vida tuve que tener mala suerte, espero que en el próximo toque sea delgado."
69089,"Tu mamá es taaan taan obesa, que cuando pasa frente a la TV... te pierdes como 5 comerciales.  fb  ",1,0,0,0,1,3.6,"Tu madre es Taaan Taan Obesa, quien cuando pasa frente a la televisión ... te pierdes como 5 comerciales. pensión completa"
69190,"Mi tía me dijo: 
- tengo memoria de Elefante. 
le respondí:- Buenisimo, te hace juego con la cara y el cuerpo",1,0,0,0,1,3.4,"Mi tía me dijo:
- Tengo memoria de elefante.
Respondí:- Genial, te combina con la cara y el cuerpo"
70474,"- Mamá, en el colegio me dicen gorda.
- ¡Ay Marrana!, no les hagas caso.
- Mariana, mamá, ¡Mariana!",1,0,0,0,1,3.0,"- Mamá, en la escuela me dicen gordo.
- ¡Oh Marrana! No los escuches.
- Mariana, mamá, Mariana!"
44398,Esdegordos   jalar la sábana hasta acercarte el control de la TV.,1,0,0,0,1,3.0,Esdegordos extrae la hoja hasta que se acerque al control de TV.
71587,—¡Cuidado que los bombones se derriten al sol! — ¡Gracias por el piropo! — JAJA ¿Que piropo? ¡Que te comas los bombones en tu casa gorda!,1,0,0,0,1,3.0,"""¡Una vez que los chocolates se derriten al sol!"" - ¡Gracias por el cumplido! - Jaja, ¿qué cumplido? ¡Que comes los chocolates en tu casa gorda!"
71875,"– Amiga, si quieres adelgazar, te recomiendo 10 manzanas diarias.  –¿Crudas? ¿Verdes o rojas?  – Corriendo gorda, corriendo.",1,0,0,0,1,2.8,"- Amigo, si quieres perder peso, recomiendo 10 manzanas al día. - ¿Eres? ¿Verde o rojo? - Correr gordo, correr."
71918,"-¿Por qué le pegó a mi hijo? 
-¡Por maleducado, me llamó gorda! 
-¿Y cree que pegándole usted va a adelgazar o que?",1,0,0,0,1,3.0,"-¿Por qué golpeaste a mi hijo?
-Por cocinado, ¡me llamó gordo!
-Y crees que perderás peso o qué?"
61941,"— Mesero, la cuenta por favor.
— Claro, son $2,300.
— Uy, ¿pues qué rompí?
— Pues la dieta ¡Pinche gordo! Tragaste un chingo.",1,0,0,0,1,3.0,"- camarero, la factura, por favor.
- Claro, son $ 2,300.
- Oh, ¿por qué me rompí?
- Bueno, la dieta, haga clic en la dieta! Te tragas un chingo."
72575,"Esta chingadera no sirve, se descompuso. 

– Yo, cada que me subo a una báscula.",1,0,0,0,1,2.0,"Esta Chingadera no funciona, se rompió.

- Yo, cada vez que tengo una escala."
72790,"-- Amor ¿Estoy guapa?  — Tienes el cuerpo de un Dios  — ¿Ah, si? ¿El de cuál?  — El de Buda",1,0,0,0,1,3.0,"- ¿Amor soy bonita? - Tienes el cuerpo de un dios - Ah, ¿sí? ¿Cuál? - Buda"
45860,"-Cariño, te veo mejor! -¿Pero cómo? ¡Si estoy más gorda! -Pues eso, que te veo mejor... HASHTAG  ",1,0,0,0,1,3.4,"-Cariño, ¡te veo mejor! -¿Pero cómo? ¡Si estoy más gordo! -Ascante, te veo mejor ... hashtag"
72954,"Pasar de un iPhone 5 a un 6, es como cambiar a tu novia flaca por una gorda.",1,0,0,0,1,3.8,"Pasar de un iPhone 5 a un 6, es como cambiar a tu novia delgada por una grasa."
45888,"—Doctor, es cierto que estoy gorda? —¡Muuuuuu! —¡DOCTOR! CONTESTEME —Perdón pensé que las vacas no hablaban.",1,0,0,0,1,4.4,"—Doctor, ¿es cierto que estoy gordo? ""¡Muuuuuu!"" -¡DOCTOR! Respóndeme."
73558,Un hombre le dice a su amigo:  -Mi esposa está en una dieta de tres semanas.  -¿De verdad? ¿Cuánto ha perdido hasta ahora?  -Dos semanas.,1,0,0,0,1,2.4,Un hombre le dice a su amigo: -Mi esposa está en una dieta de tres semanas. -¿En realidad? ¿Cuánto ha perdido hasta ahora? -Dos semanas.
67909,"Últimamente me estoy haciendo de la vista gorda, también de la cintura, la cara, el abdomen y de todo el cuerpo.",1,0,0,0,1,2.2,"Últimamente estoy haciendo la vista gorda, también de la cintura, la cara, el abdomen y todo el cuerpo."
